Year of Construction;AgeRangePartialRetrofit;2020;2030;2035;2040;2050
<=1918;<1947;8;18.5;10;9;16
1919-1945;<1947;8;18.5;10;9;16
1946-1960;1947-1974;9;15;7;7.5;14
1961-1970;1947-1974;10;17.5;7.5;7;14
1971-1980;1975-1984;7.5;15;7.5;7.5;14.5
1981-1985;1975-1984;8;16;8.5;8;16
1986-1990;1985-2000;5;13;7.5;8;16
1991-1995;1985-2000;3.5;12;7;7.5;16.5
1996-2000;1985-2000;2;9;5.5;6;13.5
2001-2005;1985-2000;2.5;8;5;5.5;12.5
2006-2010;1985-2000;0.5;3.5;2.5;4;9.5
2011-2015;1985-2000;0;2;2;2.5;7
2016-2020;1985-2000;0;0.5;1.5;2;5.5
2021-2025;1985-2000;0;0;0.5;1.5;4.5
2026-2030;1985-2000;0;0;0;0.5;3.5
2031-2035;1985-2000;0;0;0;0;2
2036-2040;1985-2000;0;0;0;0;0.5
2041-2045;1985-2000;0;0;0;0;0
2046-2050;1985-2000;0;0;0;0;0
